token	corpus size	all contexts size	frequency	co-frequency	specificity
سمير سنكري	1089	10	1	1	2.04
الإشارة الأولى	1089	10	1	1	2.04
حالة الإبداع هي حالة لا وعي تطفر من العقل و المنطق الاستقرائي لمكونات الوجود ، رائحة إلى خروج لا عقلاني عن نمطية التفكير العقلي لتكسر كلَّ أطواق التحاليل المنطقية ( التي تحاول عقلنة الحياة عن طريق تفسيرها و تشريحها و فكفكتها إلى مكوناتها المادية ملغية المكونات الروحية و الفكرية ... فالحياة تؤول و تعاش لكن لا تُفسّر ) ... فتطلقها فاردة أجنحتها الإبداعية في عالم غير معقلن أو بالأحرى معلمن (من العلم) ..	1089	10	1	1	2.04
و الشعر حالة انفلات شعوري من الوعي إلى اللاوعي الدفين في ذوات البشرية ، و الشعر فراشة لم تعرف سرَّ النور فراحت إلى موتها على طريق الكشف و المعرفة..	1089	10	1	1	2.04
فعقلنة الجمال تكسره و تأسره و تشوه طبيعته الجمالية الخلاقة عن طريق قتل الرؤية فيه فالجمال لا يُعقلن إلا كي يُدرس و دراسة الجمال و تفكيكه ليست عملية إبداعية خلاقة بل هي استقراء تفكيكي مخرب للرؤية الجمالية للإبداع ... فالعقلنة هي ضربة قاضية على الإبداع الكوني إذ تُجرده من روحانيته الرؤيوية و تأخذه إلى مادية صامتة و جامدة في محدوديتها ، فلو أنَّ المعري وضع شعره في قالب الفلسفة لاندحرت الحالة الشعرية الرؤيوية لشعره أمام منطقية الفلسفة ، و فرضت الفلسفة سيطرتها على قصيدته و أخذتها إلى عدمها الإبداعي ، هذا لا يعني أن الفكر الفلسفي ليس فكراً إبداعياً فهذا غير مقصدنا فالكر الفلسفي و ليس هو الفلسفة ..	1089	10	1	1	2.04
و كذلك فعل فيلسوف العرب ابن سينا في قصيدته الشهيرة (النفس) آخذا الفلسفة بأجنحة الشعر إلى حالة رؤيوية لا واعية بل حاسَّة و شعورية تفرد مساحات من الفكر الفلسفي كي تكتشف عن طريق الشعر كينونة النفس كما يراها الشاعر هو كشف حسي يتعامل مع المدركات و المعقولات في صياغة فنية خلاقة ..	1089	10	1	1	2.04
و الشاعر سمير سنكري لا يكتب قصيدته إلا كحالة فكرية متعمدة ، تحاور الواقع من خلال النظر الرؤيوي إلى مكونات هذا الواقع .. من إنسان و أشياء محيطة به و محيط بها ، و يرفض أن يكون الشعر لا فكريا و بالطبع لا خلق و لا إبداع دون فكر ؟؟!! (فالشعراء العظماء مفكرون عظماء) كما قال أدونيس ..	1089	10	1	1	2.04
وقال أستاذ الأديان والعقائد بجامعة الجزائر، «إذا كان الوعي المعاصر لا يفهم إلا منطق الحقوق، فينبغي رفع المطالب بخصوص حماية حقوق الطفولة والأسرة كأهم مقصد ديني وإنساني وطبيعي لردم كل المحاولات التي تحاول الالتفاف على هذا المنطق لتحقيق أهداف سياسية وإيديولوجية واقتصادية».	1089	10	2	1	1.74
مقاربة معميش في مداخلته رتبت مضمونها انطلاقا من السياق التاريخي للمواثيق والمنظومات الحقوقية المتعلقة بالمرأة، قبل أن تحيل على المنعرج الفكري في المواثيق الدولية من خلال استعراض تطور منظومة حقوق المرأة والمفاهيم والمصطلحات المتعلقة بها.	1089	10	2	1	1.74
وشدد في جانب آفاق الحوار العالمي في قضايا المرأة والأسرة، على أن الأمة الإسلامية في حوارها العالمي حول منظومة الحقوق عامة وحقوق المرأة خاصة ينبغي أن ترافع عن مبدأ التكامل والشمول بينها، وأن تثبت صوابية الطرح الإسلامي والمنافع والمصالح التي يمكن أن يستفيد ها العالم منه ابتداء بالفرد ذكرا كان أو أنثى فلا تقابل أو تناقض أو تنافس بينهما ثم الأسرة فالمجتمع فالدولة فالإنسانية.	1089	10	2	1	1.74
